fid;zone;zone2;m2;KM^2;sum;count;min;max;mean
1;1;Low;21019185.12;21.01918512;70000.75539;3414;0;232.0293732;20.50402911
2;2;Medium;15952170.08;15.95217008;18718.48421;2591;0;222.540802;7.22442463
3;3;High;34330104.34;34.33010434;4099.498132;5576;0;84.19474792;0.73520411
4;4;Really High;32021318.63;32.02131863;1493.213663;5201;0;99.9026947;0.28710126
;;;;;;;;;
;;103322778.2;103.32;94311.95139;16782;;;;
;;;;10311.95139;102101688;;;;
;;;;;;;;;
;;;;;;;;;
; ;;;;;;;;
